Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","108","Burundi","6132","Value","210011","Number of people undernourished (million) (3-year average)","20212023","2021-2023","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","108","Burundi","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","20.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","19.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","22.3","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","20.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","19.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","22.3","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","20.2","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","18.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","21.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","20.2","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","18.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20222024","2022-2024","%","21.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","21.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","20.3","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20212023","2021-2023","%","23","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","21.6","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","20.3","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20222024","2022-2024","%","23","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","70.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","68.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20212023","2021-2023","%","72.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","70.8","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","68.9","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20222024","2022-2024","%","72.7","E","Estimated value","Official estimate"
"FS","Suite of Food Security Indicators","108","Burundi","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20212023","2021-2023","%","69.7","E","Estimated value","Official estimate"
